fornecedor_aba,codigo,descricao,arquivo_imagem,confianca,confianca_pct
ABASTECE,17165,Bloqueio disjuntor trifasico,imagens/abastece/17165.png,alta,100.0
ABASTECE,17116,Bloqueio para disjuntor,imagens/abastece/17116.png,alta,100.0
ABASTECE,17114,Cadeado de bloqueio plastico,imagens/abastece/17114.png,alta,100.0
ABASTECE,k116,Caixa acrilica,imagens/abastece/k116.png,alta,100.0
ABASTECE,17115,Dispositivo de bloqueio universal,imagens/abastece/17115.png,alta,100.0
ABASTECE,17113,Etiqueta de bloqueio,imagens/abastece/17113.png,alta,100.0
ECOLAB,46711555,BOTAO OASIS COMPAC (diluidores),imagens/ecolab/46711555.png,alta,100.0
ECOLAB,46711409,CONECTOR p/ GALÃO DO SANITIZANTE,imagens/ecolab/46711409.png,alta,96.7
ECOLAB,92290022,CONJ.PESCADOR 5L EMPILHAVEL (para galões dos diluidores),imagens/ecolab/92290022.png,alta,80.0
ECOLAB,46712029,CONJUNTO DE ADESIVOS PARA SUPORTES,imagens/ecolab/46712029.png,alta,93.0
ECOLAB,441900,CONJUNTO TIPS MANIFOLD HYDRO COMPAQ,imagens/ecolab/441900.png,media,73.5
ECOLAB,46711271,ETIQ. OS. CMP. BOT LIMP. PISOS (diluidor),imagens/ecolab/46711271.png,alta,95.8
ECOLAB,46711272,ETIQ. OS. CMP. BOT SANT. CLOR. (diluidor),imagens/ecolab/46711272.png,alta,95.8
ECOLAB,46711270,ETIQ. OS. CMP. FRAS DESENGO. (diluidor),imagens/ecolab/46711270.png,alta,95.7
ECOLAB,46711269,ETIQ. OS. CMP. FRAS MULTIUSO (diluidor),imagens/ecolab/46711269.png,alta,100.0
ECOLAB,46711277,ETIQ. QSR SANIT. CLOR. SUPORTE,imagens/ecolab/46711277.png,alta,98.1
ECOLAB,46711280,GUIA DE LIMPEZA - DILUICAO,imagens/ecolab/46711280.png,alta,100.0
ECOLAB,46711268,GUIA DE LIMPEZA - MOP,imagens/ecolab/46711268.png,alta,100.0
ECOLAB,46711267,GUIA DE LIMPEZA SIST. 3 CUBAS,imagens/ecolab/46711267.png,alta,100.0
ECOLAB,46711654,KIT COMPAQ VENTURI C TUBO CX,imagens/ecolab/46711654.png,alta,85.7
ECOLAB,46680001,Mangueira Descarga (dreno Limpa Pisos e Sanitizante),imagens/ecolab/46680001.png,alta,89.8
ECOLAB,46711495,OASIS PRO BOTAO SEKO S/ KIT'S (diluidor e acessórios Limpa Pisos e Chlorine),imagens/ecolab/46711495.png,media,73.2
ECOLAB,46711496,"OASIS PRO FRASCO SEKO S/KIT'S (diluidor e acessórios Desengordurante, Multiuso)",imagens/ecolab/46711496.png,media,74.0
ECOLAB,46711506,S TUBE KIT PROMAX (saída dos diluidores Desengordurante e Multiuso),imagens/ecolab/46711506.png,alta,79.4
ECOLAB,40000013,SUP. INOX P/ 2 BOMBONAS 5L,imagens/ecolab/40000013.png,alta,88.4
ECOLAB,40000014,"SUPORTE INOX P/ 1 BOMBONAS 5L (Detergente, Chlorine, Outros)",imagens/ecolab/40000014.png,alta,82.5
ECOLAB,46620019,SUPORTE INOX PARA 4 FRASCOS BORRIFADORES,imagens/ecolab/46620019.png,alta,93.7
ECOLAB,316400,SUPORTE PLAST P/MANG.OASIS CMP (Limpa pisos),imagens/ecolab/316400.png,alta,93.5
ECOLAB,30150007,VALV.RETENCAO 1/4 ESPIG PP-VI,imagens/ecolab/30150007.png,alta,89.7
ECOLAB,46711511,VENTURI PROMAX 4L GREY - PEÇA DILUIDOR,imagens/ecolab/46711511.png,alta,100.0
ALL MOVEIS,APP,APOIO PARA PÉS - POLIPROPILENO,imagens/all-moveis/APP.png,alta,94.7
ALL MOVEIS,ASSSECR,ASSENTO DE CADEIRA SECRETARIA,imagens/all-moveis/ASSSECR.png,alta,94.5
ALL MOVEIS,ASSEXE,ASSENTO DE CADEIRA EXECUTIVA,imagens/all-moveis/ASSEXE.png,alta,88.5
ALL MOVEIS,ASSMOCHO,ASSENTO PARA MOCHO,imagens/all-moveis/ASSMOCHO.png,alta,100.0
ALL MOVEIS,707,ASSENTO SEMI-SENTADO EM POLIPROPILENO,imagens/all-moveis/707.png,alta,93.2
ALL MOVEIS,MOCHO,BANCO CADEIRA POS - ASSENTO REDONDO,imagens/all-moveis/MOCHO.png,alta,100.0
ALL MOVEIS,NERA0012,BANCO SEMI-SENTADO,imagens/all-moveis/NERA0012.png,alta,91.9
ALL MOVEIS,BASEBACK,BASE BACK SISTEM CADEIRA GERENTE,imagens/all-moveis/BASEBACK.png,alta,100.0
ALL MOVEIS,BASECAIXA,BASE CADEIRA CAIXA C ARO PARA APOIO DE PÉS,imagens/all-moveis/BASECAIXA.png,alta,100.0
ALL MOVEIS,BRAÇOSREG,BRAÇOS REGULAVEIS CADEIRA GERENTE,imagens/all-moveis/BRA_OSREG.png,alta,100.0
ALL MOVEIS,I971362PT,CADEIRA DIRETOR SUPORTA 185KG GIRATORIA,imagens/all-moveis/I971362PT.png,alta,95.8
ALL MOVEIS,183365LSCXSB,CADEIRA FACE DRIVE,imagens/all-moveis/183365LSCXSB.png,alta,89.5
ALL MOVEIS,183373BKCB,CADEIRA GERÊNCIA,imagens/all-moveis/183373BKCB.png,alta,100.0
ALL MOVEIS,1099,COLUNA A GAS CONIFICAÇÃO ALONGADA,imagens/all-moveis/1099.png,alta,96.9
ALL MOVEIS,ENCEXE,ENCOSTO DE CADEIRA EXECUTIVA,imagens/all-moveis/ENCEXE.png,alta,85.2
ALL MOVEIS,ENCSECR,ENCOSTO DE CADEIRA SECRETARIA,imagens/all-moveis/ENCSECR.png,alta,85.7
ALL MOVEIS,ENCMOCHO,ENCOSTO PARA MOCHO,imagens/all-moveis/ENCMOCHO.png,alta,100.0
ALL MOVEIS,ESTROD,ESTRELA COM RODIZIOS,imagens/all-moveis/ESTROD.png,alta,85.0
ALL MOVEIS,ESTSAP,ESTRELA COM SAPATA,imagens/all-moveis/ESTSAP.png,alta,100.0
ALL MOVEIS,1002,ESTRELA METAL CAPA,imagens/all-moveis/1002.png,alta,100.0
ALL MOVEIS,FLANGE,FLANGE SECRETÁRIA,imagens/all-moveis/FLANGE.png,alta,100.0
ALL MOVEIS,602,KIT 5 SAPATAS FIXAS,imagens/all-moveis/602.png,alta,86.5
ALL MOVEIS,LSANF,L SANFONADO PARA CADEIRA,imagens/all-moveis/LSANF.png,alta,98.0
ALL MOVEIS,819,MECAN. ERG. BANCO SEMI SENTADO,imagens/all-moveis/819.png,alta,91.5
ALL MOVEIS,PISTÃO,PISTÃO A GÁS,imagens/all-moveis/PIST_O.png,alta,80.0
ALL MOVEIS,RODPP,RODIZIO PARA CADEIRA,imagens/all-moveis/RODPP.png,alta,100.0
ALL MOVEIS,SAP,SAPATA PARA CADEIRA,imagens/all-moveis/SAP.png,alta,100.0
TREINNAR,MR83452457,ABRIGO EM CHAPA P/ CO2 06 KG,imagens/treinnar/MR83452457.png,media,69.4
TREINNAR,MR89984997,"ABRIGO PARA MANGUEIRAS 1,20 X 90 X 30",imagens/treinnar/MR89984997.png,media,63.5
TREINNAR,MR01269273,ABRIGO PARA MANGUEIRAS 90 X 60 X 30,imagens/treinnar/MR01269273.png,media,63.3
TREINNAR,MR67200112,ADAPTADOR PARA MANGUEIRA E RECALQUE 1 ½,imagens/treinnar/MR67200112.png,media,61.8
TREINNAR,MR67200112,ADAPTADOR PARA MANGUEIRA E RECALQUE 1 ½,imagens/treinnar/MR67200112_2.png,media,61.8
TREINNAR,MR31879796,BOTOEIRA ENDERECAVEL ABDE-/M 1024,imagens/treinnar/MR31879796.png,media,55.7
TREINNAR,MR67200182,CAIXA PARA CHAVE,imagens/treinnar/MR67200182.png,alta,88.9
TREINNAR,MR66000480,CHAVE STORZ DUPLA 1.1/2 X 2.1/2 LATAO,imagens/treinnar/MR66000480.png,alta,83.0
TREINNAR,MR67200119,ESGUICHO JATO SÓLIDO 1.1/2,imagens/treinnar/MR67200119.png,alta,96.0
TREINNAR,MR67200044,ESGUICHO REGULAVEL 1.1/2,imagens/treinnar/MR67200044.png,alta,84.4
TREINNAR,MR67200029,EXTINTOR AP 10 L,imagens/treinnar/MR67200029.png,alta,77.8
TREINNAR,MR67200008,EXTINTOR CO2 06 KG,imagens/treinnar/MR67200008.png,alta,87.8
TREINNAR,MR67200023,EXTINTOR DE PQS 06KG ABC,imagens/treinnar/MR67200023.png,alta,100.0
TREINNAR,MR67200017,EXTINTOR PQS 06 KG,imagens/treinnar/MR67200017.png,alta,78.0
TREINNAR,MR07484866,EXTINTOR PQS (BC) 12KG,imagens/treinnar/MR07484866.png,alta,81.8
TREINNAR,MR67200022,EXTINTOR PQS 04 KG ABC,imagens/treinnar/MR67200022.png,alta,97.8
TREINNAR,MR67200017,EXTINTOR PQS 06 KG,imagens/treinnar/MR67200017_2.png,alta,97.3
TREINNAR,MR67200024,EXTINTOR PQS 08 ABC,imagens/treinnar/MR67200024.png,alta,97.4
TREINNAR,MR67200021,EXTINTOR PQS ABC 02 KG,imagens/treinnar/MR67200021.png,media,64.4
TREINNAR,MR00181263,FITA ANTIDERRAPANTE FOTOLUMINESCENTE,imagens/treinnar/MR00181263.png,media,56.2
TREINNAR,MR67200122,MANGUEIRA 1.1/2 X 15M TIPO 2,imagens/treinnar/MR67200122.png,media,68.0
TREINNAR,MR00100509,MANGUEIRA 1.1/2 X 30M TIPO2,imagens/treinnar/MR00100509.png,alta,75.5
TREINNAR,MR67200122,MANGUEIRA 1.1/2 X 15M TIPO 2,imagens/treinnar/MR67200122_2.png,alta,82.4
TREINNAR,MR67200127,MANGUEIRA 2.1/2 X 30M TIPO 2,imagens/treinnar/MR67200127.png,media,64.3
TREINNAR,MR66000498,MARTELINHO TIPO QUEBRA VIDRO,imagens/treinnar/MR66000498.png,alta,80.0
TREINNAR,MR67200327,PLACA DE ALARME DE INCÊNDIO,imagens/treinnar/MR67200327.png,alta,94.1
TREINNAR,MR08958088,PLACA DE SINALIZAÇÃO M7,imagens/treinnar/MR08958088.png,media,73.1
TREINNAR,MR00015232,PLACA DE SINALIZAÇÃO INDICATIVA DE PAVIMENTO TERREO,imagens/treinnar/MR00015232.png,media,69.0
TREINNAR,MR08958088,PLACA DE SINALIZAÇÃO M7,imagens/treinnar/MR08958088_2.png,media,70.4
TREINNAR,MR67200588,PLACA DE SINALIZAÇÃO M2 LOTAÇÃO MÁXIMA:PESSOAS SENTADAS / EM PÉ,imagens/treinnar/MR67200588.png,alta,77.2
TREINNAR,MR08958088,PLACA DE SINALIZAÇÃO M7,imagens/treinnar/MR08958088_3.png,alta,75.9
TREINNAR,MR67200680,PLACA DE SINALIZAÇÃO PROIBIDO FUMAR,imagens/treinnar/MR67200680.png,alta,84.3
TREINNAR,MR60215935,PLACA DE SINALIZAÇÃO RS - CO2,imagens/treinnar/MR60215935.png,alta,79.2
TREINNAR,MR32386162,PLACA DE SINALIZAÇÃO RS - PQS ABC,imagens/treinnar/MR32386162.png,alta,79.4
TREINNAR,MR60215935,PLACA DE SINALIZAÇÃO RS - CO2,imagens/treinnar/MR60215935_2.png,alta,75.0
TREINNAR,MR77639245,PLACA PROIBIDO UTILIZAR O ELEVADOR,imagens/treinnar/MR77639245.png,alta,80.7
TREINNAR,MR67200206,PROTETOR PARA SPRINKLER CROMADO,imagens/treinnar/MR67200206.png,media,61.0
TREINNAR,MR67200621,SINALIZAÇÃO DE SAIDA P/ ESQUERDA (TETO),imagens/treinnar/MR67200621.png,alta,83.1
TREINNAR,MR50925387,SINALIZAÇÃO DE SAÍDA À FRENTE (S3),imagens/treinnar/MR50925387.png,alta,92.1
TREINNAR,MR50925387,SINALIZAÇÃO DE SAÍDA À FRENTE (S3),imagens/treinnar/MR50925387_2.png,alta,92.1
TREINNAR,MR67200620,SINALIZAÇÃO DE SAIDA P/ DIREITA (TETO),imagens/treinnar/MR67200620.png,alta,75.0
TREINNAR,MR67200620,SINALIZAÇÃO DE SAIDA P/ DIREITA (TETO),imagens/treinnar/MR67200620_2.png,alta,75.0
TREINNAR,MR66000437,SINALIZAÇÃO DE SAÍDA PARA ESQUERDA,imagens/treinnar/MR66000437.png,alta,76.2
TREINNAR,MR66000437,SINALIZAÇÃO DE SAÍDA PARA ESQUERDA,imagens/treinnar/MR66000437_2.png,alta,76.2
TREINNAR,MR67200620,SINALIZAÇÃO DE SAIDA P/ DIREITA (TETO),imagens/treinnar/MR67200620_3.png,alta,83.6
TREINNAR,MR67200553,PLACA DE SINALIZAÇÃO DE SAÍDA ABAIXO,imagens/treinnar/MR67200553.png,media,68.9
TREINNAR,MR66000438,SINALIZAÇÃO DE SAÍDA PARA DIREITA,imagens/treinnar/MR66000438.png,alta,87.1
TREINNAR,MR67200035,SINALIZAÇÃO FOTOLUMINISCENTE SAÍDA,imagens/treinnar/MR67200035.png,alta,77.4
TREINNAR,MR67200035,SINALIZAÇÃO FOTOLUMINISCENTE SAÍDA,imagens/treinnar/MR67200035_2.png,alta,82.5
TREINNAR,MR67200035,SINALIZAÇÃO FOTOLUMINISCENTE SAÍDA,imagens/treinnar/MR67200035_3.png,alta,82.5
TREINNAR,MR67200035,SINALIZAÇÃO FOTOLUMINISCENTE SAÍDA,imagens/treinnar/MR67200035_4.png,alta,82.5
TREINNAR,MR67200035,SINALIZAÇÃO FOTOLUMINISCENTE SAÍDA,imagens/treinnar/MR67200035_5.png,alta,82.5
TREINNAR,MR67200035,SINALIZAÇÃO FOTOLUMINISCENTE SAÍDA,imagens/treinnar/MR67200035_6.png,alta,82.5
TREINNAR,MR67200035,SINALIZAÇÃO FOTOLUMINISCENTE SAÍDA,imagens/treinnar/MR67200035_7.png,media,74.2
TREINNAR,MR67200622,SINALIZAÇÃO SAIDA (TETO),imagens/treinnar/MR67200622.png,alta,95.7
TREINNAR,MR00000023,SOLENOIDE PARA DAMPER 220V,imagens/treinnar/MR00000023.png,alta,88.9
TREINNAR,MR95927134,SUPORTE DE PISO PARA EXTINTOR EM AÇO INOX,imagens/treinnar/MR95927134.png,alta,81.2
TREINNAR,MR24536397,SUPORTE DE PISO PARA EXTINTOR TIPO TRIPÉ,imagens/treinnar/MR24536397.png,alta,81.7
TREINNAR,MR67200038,SUPORTE PAREDE,imagens/treinnar/MR67200038.png,alta,82.4
TREINNAR,MR67200150,SUPORTE P/ PQS 02 KG AUTOMOTIVO (COLD KIOSK),imagens/treinnar/MR67200150.png,media,60.6
TREINNAR,MR61428706,SUPORTE TRIPÉ COM HASTE,imagens/treinnar/MR61428706.png,alta,97.9
TREINNAR,MR67200180,TAMPÃO CEGO CORRENTE 1.1/2,imagens/treinnar/MR67200180.png,alta,94.1
TREINNAR,MR67200180,TAMPÃO CEGO CORRENTE 1.1/2,imagens/treinnar/MR67200180_2.png,alta,94.1
TREINNAR,SV009,TESTE EM MANGUEIRAS,imagens/treinnar/SV009.png,media,59.1
TREINNAR,MR67200052,VIDRO PARA ABRIGO DE EXTINTORES E HIDRANTES,imagens/treinnar/MR67200052.png,media,72.5
BOOK DE EPIS,M032803,"AVENTAL DE SEGURANÇA CONFECCIONADA EM RASPA, FIVELAS METÁLICAS E TIRAS EM RASPA, COSTURADO COM LINHA DE ALGODÃO, LARGURA DE 60 CM E COMPRIMENTOTOTAL DE 100 E 120 CM.",imagens/book-de-epis/M032803.png,media,58.8
BOOK DE EPIS,EP024,AVENTAL IMPERMAVEL PARA AREA DE LAVAGEM,imagens/book-de-epis/EP024.png,media,72.5
BOOK DE EPIS,1444437,AVENTAL TÉRMICO PARA ALTA TEMPERATURA,imagens/book-de-epis/1444437.png,alta,78.1
BOOK DE EPIS,11817666,SAPATO AZUL MARINHO STICKY SHOE,imagens/book-de-epis/11817666.png,baixa-revisar,41.7
BOOK DE EPIS,1394651,TOUCA COM ABA EM BRIM - AZUL,imagens/book-de-epis/1394651.png,baixa-revisar,45.0
BOOK DE EPIS,1193005,CALÇADO EM MICROFIBRA BELM ELETRICISTA,imagens/book-de-epis/1193005.png,baixa-revisar,43.1
BOOK DE EPIS, 11440902,SAPATO SOCIAL PRETO MASCULINO,imagens/book-de-epis/11440902.png,baixa-revisar,42.9
BOOK DE EPIS,KITMANP,MANGOTE,imagens/book-de-epis/KITMANP.png,baixa-revisar,41.7
BOOK DE EPIS,11441062,SAPATO SOCIAL PRETO FEMININO,imagens/book-de-epis/11441062.png,baixa-revisar,37.2
BOOK DE EPIS,795782,CARNEIRA CAPACETE CATRACA COM JUGULAR,imagens/book-de-epis/795782.png,baixa-revisar,53.3
BOOK DE EPIS,11817666,SAPATO AZUL MARINHO STICKY SHOE,imagens/book-de-epis/11817666_2.png,baixa-revisar,45.6
BOOK DE EPIS,EP032,ÓCULOS DE SEGURANÇA LENTE ANTIENBAÇANTE - INCOLOR,imagens/book-de-epis/EP032.png,baixa-revisar,50.0
BOOK DE EPIS,EP012,COLETE DRIVE REFLETIVO 1 BOLSOS FRONTAIS,imagens/book-de-epis/EP012.png,media,59.0
BOOK DE EPIS,332255,FILTRO - RESPIRADOR VAPORES ORGÂNICOS,imagens/book-de-epis/332255.png,media,72.1
BOOK DE EPIS,332255,FILTRO - RESPIRADOR VAPORES ORGÂNICOS,imagens/book-de-epis/332255_2.png,media,62.1
BOOK DE EPIS,F110KNKCS16NT,LUVA PARA ALTA TEMPERATURA,imagens/book-de-epis/F110KNKCS16NT.png,media,60.4
BOOK DE EPIS,F110KNKCS16NT,LUVA PARA ALTA TEMPERATURA,imagens/book-de-epis/F110KNKCS16NT_2.png,media,60.0
BOOK DE EPIS,M002037M,LUVA DE COBERTURA EM VAQUETA,imagens/book-de-epis/M002037M.png,media,61.5
BOOK DE EPIS,M002037M,LUVA DE COBERTURA EM VAQUETA,imagens/book-de-epis/M002037M_2.png,baixa-revisar,50.0
BOOK DE EPIS,M032815,LUVA PARA FORNO,imagens/book-de-epis/M032815.png,baixa-revisar,50.0
BOOK DE EPIS,1394651,TOUCA COM ABA EM BRIM - AZUL,imagens/book-de-epis/1394651_2.png,baixa-revisar,41.7
BOOK DE EPIS,M032815,LUVA PARA FORNO,imagens/book-de-epis/M032815_2.png,alta,85.7
BOOK DE EPIS,1437942,LUVA TÁTIL,imagens/book-de-epis/1437942.png,media,69.2
BOOK DE EPIS,F110KNKCS16NT,LUVA PARA ALTA TEMPERATURA,imagens/book-de-epis/F110KNKCS16NT_3.png,baixa-revisar,51.1
BOOK DE EPIS,M002037M,LUVA DE COBERTURA EM VAQUETA,imagens/book-de-epis/M002037M_3.png,media,66.7
BOOK DE EPIS,1437942,LUVA TÁTIL,imagens/book-de-epis/1437942_2.png,baixa-revisar,51.9
BOOK DE EPIS,KITMANP,MANGOTE,imagens/book-de-epis/KITMANP_2.png,media,70.0
BOOK DE EPIS,1394651,TOUCA COM ABA EM BRIM - AZUL,imagens/book-de-epis/1394651_3.png,baixa-revisar,40.0
BOOK DE EPIS,M032808,MASCARA DE SOLDA COM VISOR ARTICULADO,imagens/book-de-epis/M032808.png,media,63.5
BOOK DE EPIS,M032808,MASCARA DE SOLDA COM VISOR ARTICULADO,imagens/book-de-epis/M032808_2.png,media,55.2
BOOK DE EPIS,M002037M,LUVA DE COBERTURA EM VAQUETA,imagens/book-de-epis/M002037M_4.png,baixa-revisar,40.0
BOOK DE EPIS,20713,ÓCULOS DE SEGURANÇA SOBREPOR,imagens/book-de-epis/20713.png,baixa-revisar,48.0
BOOK DE EPIS,20713,ÓCULOS DE SEGURANÇA SOBREPOR,imagens/book-de-epis/20713_2.png,baixa-revisar,43.5
BOOK DE EPIS,EP024,AVENTAL IMPERMAVEL PARA AREA DE LAVAGEM,imagens/book-de-epis/EP024_2.png,baixa-revisar,41.2
BOOK DE EPIS,EP024756,PERNEIRA PVC ,imagens/book-de-epis/EP024756.png,media,59.3
BOOK DE EPIS,EP031,PROTETOR AUDITIVO DE SILICONE COM CORDÃO DE NYLON,imagens/book-de-epis/EP031.png,media,62.0
BOOK DE EPIS,M016002,PROTETOR AUDITIVO TIPO CONCHA 3M MUFFLER 20DB,imagens/book-de-epis/M016002.png,media,57.1
BOOK DE EPIS,1132044,PROTETOR SOLAR FATOR 60,imagens/book-de-epis/1132044.png,media,59.6
BOOK DE EPIS,1132044,PROTETOR SOLAR FATOR 60,imagens/book-de-epis/1132044_2.png,media,71.1
BOOK DE EPIS,M032802,RESPIRADOR DESCARTAVEL PFF2,imagens/book-de-epis/M032802.png,media,57.1
BOOK DE EPIS,332752,RESPIRADOR SEMI-FAC ELASTOM 5500,imagens/book-de-epis/332752.png,media,63.3
BOOK DE EPIS,511103,CONJ RETENTOR CART - RESPIRADOR,imagens/book-de-epis/511103.png,media,71.7
BOOK DE EPIS,11441062,SAPATO SOCIAL PRETO FEMININO,imagens/book-de-epis/11441062_2.png,alta,88.5
BOOK DE EPIS, 11440902,SAPATO SOCIAL PRETO MASCULINO,imagens/book-de-epis/11440902_2.png,media,73.7
